Date,AvgTone
2016-12-04,58.08177495440631
2016-12-11,55.46226954514176
2016-12-18,55.87724811970941
2016-12-25,55.05503517834607
2017-01-01,53.56999499433175
2017-01-08,54.37178396301223
2017-01-15,53.752397769564716
2017-01-22,53.48897900284437
2017-01-29,53.560975718460796
2017-02-05,52.35795257113956
2017-02-12,52.38154802678377
2017-02-19,52.26823466901082
2017-02-26,52.409786637572196
2017-03-05,52.37632800723928
2017-03-12,52.69530903878153
2017-03-19,53.37287726899976
2017-03-26,54.00445350730645
2017-04-02,54.27730668681367
2017-04-09,54.67256863325158
2017-04-16,54.4881924282076
2017-04-23,54.598241274721175
2017-04-30,54.77709706846604
2017-05-07,54.59497849981422
2017-05-14,54.73803864687867
2017-05-21,54.866732924404
2017-05-28,54.982794330521656
2017-06-04,55.08769965205847
2017-06-11,55.18271503179435
2017-06-18,55.2689321146808
2017-06-25,55.347296971838134
2017-07-02,55.41863343363101
2017-07-09,55.483662055218474
2017-07-16,55.54301564131961
2017-07-23,55.597252038809515
2017-07-30,55.646864743726105
2017-08-06,55.69229174774635
2017-08-13,55.73392295723094
2017-08-20,55.7721064477611
2017-08-27,55.8071537631139
2017-09-03,55.83934442579369
2017-09-10,55.86892979359486
2017-09-17,55.896136371027225
2017-09-24,55.92116866416212
2017-10-01,55.94421165133509
2017-10-08,55.965432929246134
2017-10-15,55.98498458362999
2017-10-22,56.003004825288656
2017-10-29,56.01961942547224
2017-11-05,56.03494297904054
2017-11-12,56.04908001928596
2017-11-19,56.06212600455221
2017-11-26,56.0741681936864
2017-12-03,56.304144611845146
2017-12-10,56.240472787731164
2017-12-17,56.50630017104595
2017-12-24,56.324454111537975
2017-12-31,56.275608378800605
2018-01-07,55.810360162598585
2018-01-14,56.13476858063551
2018-01-21,56.09599728766782
2018-01-28,56.506278012332956
2018-02-04,56.36447661068448
2018-02-11,56.4048681183574
2018-02-18,56.26337284399604
2018-02-25,56.46727721328935
2018-03-04,56.49970744407983
2018-03-11,56.402841013892505
2018-03-18,56.4498050644864
2018-03-25,56.50938741211819
2018-04-01,56.73579247390618
2018-04-08,56.77243092698955
2018-04-15,57.012216572502346
2018-04-22,57.12674598064166
2018-04-29,56.72189165202785
2018-05-06,56.83529771615097
2018-05-13,56.801864512696135
2018-05-20,57.068502172828055
2018-05-27,56.55766648254901
2018-06-03,56.378607972293004
2018-06-10,56.46645602042866
2018-06-17,56.44829207686244
2018-06-24,56.431478703688036
2018-07-01,56.41591513015724
2018-07-08,56.40150815434468
2018-07-15,56.38817156752989
2018-07-22,56.37582562336935
2018-07-29,56.364396548230495
2018-08-05,56.353816089372984
2018-08-12,56.344021097946936
2018-08-19,56.33495314403478
2018-08-26,56.326558161197056
2018-09-02,56.318786118194645
2018-09-09,56.31159071575255
2018-09-16,56.30492910640648
2018-09-23,56.29876163563304
2018-09-30,56.293051602610824
2018-10-07,56.287765039092996
2018-10-14,56.282870504993745
2018-10-21,56.27833889940272
2018-10-28,56.274143285843685
2018-11-04,56.27025873068704
2018-11-11,56.266662153711806
2018-11-18,56.263332189891386
2018-11-25,56.26024906154957
2018-12-02,55.77541220592179
2018-12-09,55.794372327694916
2018-12-16,56.067238567935675
2018-12-23,55.80938297118843
2018-12-30,55.7253900280616
2019-01-06,55.332044166283495
2019-01-13,55.68871260006343
2019-01-20,55.40885740136901
2019-01-27,55.204794768996095
2019-02-03,55.26461556162848
2019-02-10,55.09173139477181
2019-02-17,55.172145458857734
2019-02-24,55.22474429649971
2019-03-03,55.13583319872164
2019-03-10,55.10335735367721
2019-03-17,55.20505370270392
2019-03-24,55.210269951132496
2019-03-31,55.73192009022997
2019-04-07,55.45416878062038
2019-04-14,55.17698406801517
2019-04-21,55.30773408424748
2019-04-28,55.585364870092654
2019-05-05,55.6053233856026
2019-05-12,55.531754133935785
2019-05-19,55.705871337576966
2019-05-26,55.32860988819579
2019-06-02,55.12780754109501
2019-06-09,54.708877924235125
2019-06-16,54.44041155714367
2019-06-23,55.0851011419915
2019-06-30,55.18686456132203
2019-07-07,55.743859081657504
2019-07-14,55.53954522623431
2019-07-21,55.554364502591774
2019-07-28,55.413966023230735
2019-08-04,55.23118817666391
2019-08-11,54.84577840995215
2019-08-18,54.48237967091271
2019-08-25,54.80800828047766
2019-09-01,54.413118353602805
2019-09-08,54.3419524959226
2019-09-15,54.65169793075656
2019-09-22,54.35126141503022
2019-09-29,54.45708832672707
2019-10-06,54.35656567179377
2019-10-13,53.62716264912756
2019-10-20,53.29633717253008
2019-10-27,53.20575406661372
2019-11-03,53.0169982411937
2019-11-10,53.668980075825395
2019-11-17,53.53566862008994
2019-11-24,53.591010851634145
2019-12-01,53.53591548736245
2019-12-08,53.29596395572774
2019-12-15,54.1134163185287
2019-12-22,54.45357883140177
2019-12-29,54.27545291234112
2020-01-05,54.6113903313772
2020-01-12,54.87985725466423
2020-01-19,54.71340067569287
2020-01-26,55.03239873096864
2020-02-02,55.35263701513106
2020-02-09,55.065494977891206
2020-02-16,55.69598850718973
2020-02-23,55.33298105051989
2020-03-01,55.5047449635388
2020-03-08,55.18717478951882
2020-03-15,55.28840371225768
2020-03-22,55.56068851463044
2020-03-29,55.377316931789075
2020-04-05,55.76001674694066
2020-04-12,56.32664015400295
2020-04-19,56.22285119794727
2020-04-26,56.860706226344284
2020-05-03,57.05751619670275
2020-05-10,56.877124158626856
2020-05-17,57.247528331932934
2020-05-24,57.421297571137686
2020-05-31,57.58220199359059
2020-06-07,57.47977079930246
2020-06-14,56.6730171906395
2020-06-21,56.25218734134677
